Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Detroit Lions,27,23,26,363,214,149,,25,426,288,138,1,10.67,-7.96,0.12
2,Sun,20-Sep,1:00PM ET,boxscore,W,,Feb-00,,New York Giants,17,13,18,304,169,135,2,22,295,220,75,2,3.42,-0.28,-3.92
3,Sun,27-Sep,1:00PM ET,boxscore,W,,Mar-00,@,Atlanta Falcons,30,26,24,437,307,130,2,22,371,227,144,1,2.87,-5.82,5.24
4,Sun,4-Oct,1:00PM ET,boxscore,L,,1-Mar,,Indianapolis Colts,11,19,16,269,241,28,1,18,289,186,103,,-1.13,-2.28,-7.13
5,Thu,8-Oct,8:20PM ET,boxscore,W,,1-Apr,,Tampa Bay Buccaneers,20,19,18,243,208,35,1,18,339,233,106,1,-0.67,3.3,1.05
6,Sun,18-Oct,1:00PM ET,boxscore,W,,1-May,@,Carolina Panthers,23,16,22,261,198,63,1,23,303,191,112,3,1.01,3.15,2.23
7,Mon,26-Oct,8:15PM ET,preview,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,
8,Sun,1-Nov,4:25PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
10,Mon,16-Nov,8:15PM ET,preview,,,,,Minnesota Vikings,,,,,,,,,,,,,,,
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,29-Nov,8:20PM ET,preview,,,,@,Green Bay Packers,,,,,,,,,,,,,,,
13,Sun,6-Dec,1:00PM ET,preview,,,,,Detroit Lions,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
15,Sun,20-Dec,1:00PM ET,preview,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,,,Green Bay Packers,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
