,Season,Total_Accuracy,3Agree_Accuracy,2Agree_Accuracy
0,2019,80.02357843137254,87.10058823529413,76.02352941176471
1,2018,74.9625876829605,78.77470588235295,72.22647058823529
2,2017,75.33537407195888,76.16235294117647,74.87176470588236
3,2016,73.9330411764706,74.95294117647059,73.23882352941176
4,2015,64.86650802139037,64.34882352941177,65.17411764705882
5,2014,73.90183564883239,79.17823529411766,71.16294117647058
6,2013,77.5664,77.71294117647058,77.50941176470589
7,2012,72.85941708810219,64.86529411764705,78.66764705882352
8,2011,73.99703349282296,79.87882352941176,70.34941176470589
9,2010,72.75199579831934,69.34823529411767,74.67999999999999
